id,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6
iogjy,2,5,17,11,14,82
dk3bl,10,25,85,10,10,85
ijqot,11,5,68,10,21,7
zlhxk,11,0,0,2,0,90
j58ij,11,19,58,10,1,15
x83qt,10,18,91,4,15,47
mix7q,10,0,85,2,0,50
spv3t,2,15,27,11,21,84
lpra2,10,8,80,11,21,17
gm5nj,10,18,8,2,28,58
t5e23,4,4,36,2,4,83
zhhl5,11,3,23,11,11,50
gmdod,4,8,9,10,8,10
utgka,4,6,98,2,8,42
ga07o,10,16,80,2,8,55
sa8on,2,29,95,2,6,9
u2z0y,4,22,72,4,1,38
laly6,2,23,90,2,26,76
two6t,2,7,39,10,27,86
heo4p,10,3,39,11,19,1
ctbxl,2,9,19,11,18,58
cd8o3,11,30,77,11,24,56
lz5pz,11,12,19,11,21,14
x7xx6,11,21,6,10,28,42
dmt06,2,0,93,2,0,32
l2o2v,4,17,31,11,29,29
sqq1a,2,0,60,2,0,0
f8hz7,11,11,90,11,11,16
shvtb,10,26,30,2,28,85
hx867,2,22,38,4,19,6
vrzik,4,10,91,11,25,42
p7k05,11,26,62,11,27,46
owc8i,4,11,52,11,22,91
e9fmz,10,0,63,4,0,15
mbn66,2,0,71,2,0,66
wt229,10,3,11,10,23,52
apk5r,4,7,18,2,16,61
tvx29,10,29,72,2,26,30
mnm5l,11,9,19,10,18,37
sxwpx,10,12,76,2,12,92
rzggq,2,23,65,11,23,52
l4nqp,2,14,73,10,7,4
i2fvx,2,0,98,11,0,53
qhgza,4,26,65,11,3,65
dhrab,2,16,18,2,18,87
pwx8v,4,23,47,11,27,88
ceuad,10,10,39,11,21,26
qhe9x,2,19,38,4,16,28
qvbfe,11,0,0,11,0,5
cw1vg,2,26,52,10,14,11
tjrpd,10,5,11,2,24,95
kpih5,2,23,63,2,21,3
ue1bg,10,26,0,2,14,21
b5hcr,10,19,73,11,4,59
eiwtu,11,6,68,11,11,44
mbkb8,11,0,87,10,0,74
ed45x,10,0,75,2,0,29
i366k,11,6,97,2,0,90
r1kel,11,14,1,2,4,16
d7fuf,11,16,54,11,4,35
rr684,10,0,38,2,0,42
c4tbx,11,0,70,11,0,69
eqiza,11,30,20,10,28,3
pfpgy,4,19,85,4,24,50
u2yev,2,12,10,11,14,7
e77fh,11,4,14,10,8,48
hgj6c,10,7,20,4,19,15
yu73q,4,14,66,11,18,76
ztoy9,2,22,15,4,27,55
pup6m,10,14,10,2,30,20
lchxp,4,15,85,10,4,20
j6yu6,10,21,93,10,20,54
p0gzy,11,3,35,4,2,31
p7af2,10,0,1,11,0,39
h8k8b,11,27,64,2,19,22
azox6,4,27,22,11,18,64
dui8k,2,22,20,2,0,97
ysg59,11,0,11,10,0,16
knpq8,11,11,82,11,26,63
mvd1q,2,5,24,2,1,50
mcrcj,11,0,97,10,0,22
u0rpm,2,27,24,10,8,83
b5i7n,4,0,89,11,0,21
cow1q,11,17,34,4,4,7
hwo14,10,0,27,2,0,91
m5xkw,4,6,7,11,12,27
rwi41,10,0,24,11,20,36
mpbzh,4,2,34,4,28,34
l0oz6,11,0,29,10,0,15
ydbyq,11,29,56,11,29,72
eze5i,11,0,6,2,0,28
oeo3d,11,8,14,2,30,7
os3sc,10,0,77,10,0,18
mhvxf,11,16,24,11,10,80
uoduq,11,1,16,10,13,29
gxm9b,11,2,81,2,30,37
yic4k,10,7,24,10,25,17
ib264,11,27,31,11,24,17
ohckg,2,11,15,10,1,8
n1mqx,4,8,63,2,2,76
wpkhh,2,16,71,2,14,56
leviy,4,9,34,10,9,11
hmr4y,2,25,86,2,27,90
aka0l,10,28,88,2,9,90
jcv3x,4,8,27,11,11,61
v3h4l,11,1,38,10,9,82
asiw6,2,0,54,10,0,42
x9ko5,11,27,31,11,15,82
ol5ts,2,7,51,10,6,85
d757c,11,2,17,11,6,34
heeto,11,18,57,2,7,75
ohyi8,10,22,95,2,18,47
imqca,11,0,80,11,0,72
cfgdp,2,2,38,10,24,78
rzy2v,10,0,37,10,0,33
rf54j,2,25,57,11,19,1
d5tnf,11,17,61,2,1,88
h7xp1,11,3,80,2,0,42
g1shq,11,13,49,11,0,98
rvge7,4,0,66,11,0,9
suvp3,11,8,42,4,18,55
sna1j,2,22,48,4,0,6
y1rmt,10,21,45,4,25,2
tpojm,10,21,27,4,24,88
ilq8n,2,12,8,11,2,97
cwbay,10,7,47,10,20,66
py1ul,2,0,60,10,0,96
xd8g9,10,17,25,2,6,17
zjud2,11,0,52,2,0,57
fotej,10,20,61,11,19,72
goc0m,2,11,18,11,14,91
a0gb7,11,16,90,2,5,63
dh8zt,11,14,64,2,14,23
owun7,11,0,16,11,0,78
oc0wf,2,7,67,10,24,41
jx8ku,2,13,74,2,9,65
inach,4,0,64,2,0,60
vw2ce,2,8,41,2,28,93
l44t2,11,9,51,10,16,27
vhb6l,10,12,12,2,17,89
zmsvc,2,9,66,4,28,61
ivu09,10,30,50,10,10,47
fzv5r,2,21,53,10,7,9
yb588,10,29,89,4,20,64
q66yb,2,11,12,11,19,96
h0dfw,2,14,33,2,8,81
q7ifs,4,22,0,2,27,45
nm4g7,10,13,49,11,17,37
xjmy4,4,2,77,10,3,36
grsxx,2,20,69,11,26,23
z2e8c,10,16,32,2,30,7
yi2kv,2,29,17,4,20,73
ef3ke,11,22,63,11,8,34
edg0c,2,8,23,10,20,35
nvxlw,10,30,21,2,0,7
bkpbe,11,0,90,2,0,1
hdamj,10,23,31,10,30,20
lja28,2,24,25,11,30,8
z0g2j,4,0,87,2,0,79
zk2h9,4,8,57,2,17,28
d4wsj,2,15,22,11,21,43
xxqxc,10,0,34,11,0,48
cndoz,11,25,80,2,2,60
te33j,10,18,10,4,14,64
vg01x,10,21,93,2,30,27
xfsjk,2,19,15,4,18,70
fu9hi,10,27,59,10,26,52
xih7d,2,0,27,11,0,1
dhxm6,2,24,18,10,7,3
nverd,10,22,17,10,18,31
mp6rx,10,1,93,10,7,79
in8vz,2,8,76,11,28,1
a217q,10,28,35,10,21,26
ufiiu,11,1,18,2,29,16
idm0q,11,21,65,4,30,60
rmsea,4,22,70,4,7,60
kzvym,10,0,67,4,0,0
jh30c,11,13,7,2,6,41
x8ukm,10,6,54,11,19,22
ctdco,4,27,83,2,5,57
t8o41,11,25,1,10,28,51
t4f93,2,0,47,2,0,40
j4bjs,11,0,57,2,0,36
gwx9a,11,28,81,2,16,95
ajctj,11,4,13,2,30,91
ywnjm,2,24,80,4,27,37
yw8gg,10,0,0,10,0,85
g8668,11,0,9,2,0,5
ahgx1,2,8,73,2,4,53
d396i,10,16,33,11,30,64
bksk1,10,27,81,10,6,23
v30a3,10,0,46,4,0,28
xkmue,2,13,87,2,5,58
d0yqm,10,0,21,10,0,45
tkx9r,11,27,29,2,7,44
e9qa5,11,17,39,11,7,92
jmxqw,10,0,97,11,25,5
p188j,11,21,92,11,26,70
sayhm,2,0,65,2,0,62
w1vv3,10,0,0,2,0,41
bw7hp,11,20,63,10,6,49
fp34m,11,4,36,2,13,40
h7xi5,11,3,47,4,20,71
igy7z,10,25,71,2,10,42
zs4gj,11,0,34,10,7,59
ux0jw,4,17,66,11,7,43
i2tf9,11,0,8,4,0,0
zmoui,2,8,78,10,27,47
mc41g,10,1,40,4,30,34
ns097,2,0,90,4,0,69
lc3fw,4,0,39,2,0,59
dv7ur,2,13,7,11,28,74
yvcb0,11,0,50,4,0,43
arzr5,2,18,87,10,7,60
elojf,2,18,54,2,13,39
feddm,4,16,57,2,16,41
hq23s,4,0,18,10,0,11
dvgji,11,5,78,10,12,5
armhr,10,27,9,2,16,96
re419,2,19,35,10,27,19
zjv3o,4,8,92,10,15,26
d7ggs,10,0,97,11,0,63
hmw4l,11,23,17,10,13,66
n0lb3,11,14,24,10,8,96
ysxnq,2,7,82,11,9,64
s3ufs,2,14,46,10,23,33
teg95,10,0,3,11,0,65
p5d9h,4,3,52,2,2,74
kgunq,2,0,45,2,0,83
f5vk7,10,19,61,11,26,88
wzkbf,2,20,1,4,8,10
uhe7c,11,8,62,2,4,72
a82cq,2,12,3,2,7,37
sajjy,2,5,23,2,0,45
cg1z7,11,0,6,10,0,12
ttozy,2,28,95,4,7,97
vhjx5,11,20,26,10,0,83
ds6tw,4,0,31,10,19,90
lnxcx,11,6,66,10,10,93
dov9p,10,23,60,10,21,40
oy0g9,2,2,48,10,29,59
yt0el,11,11,52,11,13,20
c7sav,11,7,68,4,16,88
k4cgr,2,19,81,4,21,26
zodgs,2,7,53,2,0,9
hvdzn,4,21,17,2,14,7
d98wa,10,5,63,2,22,83
mejpn,2,15,72,10,21,0
n1vk8,11,13,67,4,18,53
r6xh6,2,25,3,10,15,26
i0fgk,2,10,84,2,12,35
yw5fa,10,11,85,10,24,84
nyqcq,2,0,34,2,0,21
hb85q,2,19,0,11,26,55
y36bv,2,27,2,10,16,78
yhkwf,10,25,54,4,16,93
m7r5a,2,0,58,11,0,47
a2mzs,11,10,35,2,18,68
puurp,11,29,73,2,20,76
o98vf,2,10,43,10,27,31
db9gy,2,8,85,2,11,28
qz3lw,10,22,50,2,5,93
vqh01,2,5,86,2,23,97
cs4w1,10,30,11,2,4,89
s15wc,10,9,82,11,19,12
d8807,2,13,93,2,12,17
th6ew,10,0,62,4,0,39
ks4tv,11,10,16,2,17,3
alrn7,10,3,20,11,10,45
zthb4,2,9,9,11,8,75
ewpkk,2,0,49,10,0,55
pwstw,11,21,46,10,23,3
e7gw1,10,16,39,11,16,61
yrosz,10,0,19,2,0,39
tmfdc,11,0,24,2,0,56
u6fxg,4,7,71,11,25,9
ls1fr,4,0,13,2,0,93
mp1u0,11,27,92,11,23,29
qviu6,11,8,64,10,21,58
uo1xd,10,27,6,2,19,56
wdugo,2,10,5,10,9,36
aqq0n,2,29,47,10,24,62
rdr5m,10,7,40,10,26,28
c1qgt,4,16,7,2,0,29
hr0yf,4,0,82,2,0,31
vceyr,2,17,19,2,19,56
gnrau,2,5,59,4,5,95
ufwfj,11,24,44,11,5,6
m7x5r,11,19,19,10,15,12
g0rwv,10,0,60,11,0,17
iawew,4,0,22,10,0,19
ne3vr,11,29,27,10,15,84
t77k8,2,20,43,11,5,97
ppm75,11,0,98,10,0,65
y4pv9,11,23,72,4,12,55
wb77p,2,0,65,2,0,50
tbmdy,4,2,32,11,6,56
pmnux,11,20,96,2,12,19
hepds,4,14,72,11,7,3
klng2,2,7,9,4,8,5
dkvxy,10,8,34,10,19,95
ja3x2,11,7,4,10,20,80
y0s0j,2,28,70,2,19,81
lmnot,2,22,0,10,20,74
c0il2,10,15,6,11,0,33
q2idm,2,4,63,10,3,58
zewzz,10,0,85,10,0,62
wmor1,10,0,40,10,25,20
h86mf,10,11,61,2,25,19
lb67t,10,0,87,4,0,61
ncq02,10,13,55,4,20,16
g22dy,10,18,20,11,16,0
g9osj,10,10,31,2,28,45
g2m9u,2,16,21,2,21,17
zmub7,10,16,34,2,11,61
tqqox,2,11,33,2,15,66
v2xe0,2,3,32,4,23,96
vx9j2,10,1,8,2,19,90
y5b63,11,0,37,11,0,79
c29hb,11,0,59,10,0,31
wwv4v,10,9,36,4,9,10
besn5,2,5,41,2,10,15
mz30g,11,21,41,10,12,4
p4djf,10,11,71,11,24,79
jd5ed,11,0,97,2,0,22
ddxiy,11,0,90,2,0,18
ejhfi,4,0,70,11,0,3
vi4tp,4,0,27,11,0,37
i6r5o,11,11,4,10,30,71
i9gsp,2,29,98,10,19,27
y5jmk,2,13,68,4,6,40
dwhrw,4,4,22,2,21,9
xhkff,4,25,37,2,5,44
x73gu,10,11,72,10,26,53
pd412,4,5,97,11,24,56
eln5u,10,28,22,10,2,67
eu93m,2,0,29,10,0,4
hbi1f,10,0,27,4,0,5
pk7pi,4,11,3,2,29,95
dt7hv,10,25,92,2,15,53
l2v5o,4,0,40,4,0,34
d2ocl,4,6,20,10,0,82
of0o0,11,0,1,4,0,93
a0t7q,11,24,78,10,11,33
sywzr,4,3,48,10,30,1
bp36c,4,5,63,10,13,52
f96vs,4,6,14,11,3,96
eqsgo,10,18,20,11,20,66
v8tnh,2,8,87,11,12,23
b1ruo,2,9,21,2,2,43
lbkvh,2,7,38,2,22,89
ps4g4,11,3,21,4,19,90
nfrxi,10,21,10,11,11,4
riqa7,10,3,18,11,27,96
uj2k3,4,25,9,11,21,8
kgzz0,11,0,32,11,0,68
vbf5m,2,0,21,11,0,18
i23yg,2,19,12,11,20,73
zmca4,4,5,23,2,18,54
nr2ff,2,29,26,11,4,79
tutob,11,30,31,10,13,43
wjffj,11,2,41,10,13,68
uxz2k,10,0,68,10,18,92
wt3ra,4,29,86,4,29,80
nrank,10,28,84,10,6,41
b60x8,11,14,77,10,13,14
m7ltu,11,19,19,10,19,66
eabma,10,15,70,10,30,16
xyaid,10,17,68,4,28,77
gr5bx,2,22,52,4,14,11
ft6v4,11,23,9,2,29,36
gy1rm,4,0,93,10,0,68
qsezd,2,0,89,2,0,81
o7aeg,4,14,38,11,5,69
yga9y,10,19,72,2,26,91
kknit,11,14,63,11,4,88
horok,2,0,58,11,0,10
bseut,10,0,30,2,0,0
ae580,4,12,45,11,2,37
j870m,4,12,92,10,10,69
yh4r0,11,15,22,10,29,18
n67yk,2,30,98,4,17,28
xc2as,2,0,26,2,0,34
ckp5q,2,0,91,10,0,83
cfpd5,10,14,20,2,3,12
vb7hx,2,15,13,10,27,7
c5g7p,10,23,4,2,30,66
bsm9y,2,0,88,10,0,36
kmc6x,10,0,93,10,0,90
yeqjj,2,16,42,11,8,73
rrcib,2,0,21,2,0,10
c76fu,11,15,87,11,4,77
vitqa,11,15,11,11,3,23
v21ch,10,22,89,10,13,24
uenqx,11,6,76,11,10,48
xwer2,2,6,81,11,29,47
g64ks,4,28,20,10,25,12
zfnkj,11,20,8,11,4,83
i504m,2,13,8,11,4,2
uo3b0,10,0,25,2,0,63
pym7i,2,14,82,10,9,57
ummnm,4,2,54,2,6,0
qr8rw,11,20,77,4,19,81
qyxlk,4,19,50,4,25,31
qnn3q,2,16,18,4,16,64
u79yy,10,14,67,11,12,81
tefz9,2,0,97,11,5,29
d2jyw,11,0,77,2,27,88
vb5mw,11,29,98,2,26,77
nm7q4,2,9,46,2,5,21
i7bpy,11,15,65,10,5,54
n4zxn,2,0,20,11,0,62
zf6b2,11,23,34,11,1,67
wbn4i,10,13,53,11,9,55
vjhyh,11,0,25,2,0,4
mzv6x,11,28,32,10,19,97
uofpt,2,8,68,2,29,64
k7jn6,10,0,16,10,0,47
r74ge,4,16,0,11,24,89
qnjl8,10,23,92,4,6,28
gtk03,11,26,4,10,29,37
gpbqn,2,7,37,10,3,4
bgw0o,10,26,96,2,1,75
dn2g9,10,26,53,2,25,31
lpsvq,2,0,68,10,0,65
mbz61,10,18,22,10,6,97
eyc2p,10,0,38,2,0,55
kkril,10,28,83,11,11,1
p31u5,4,0,71,10,0,42
gf4rw,10,0,77,2,0,49
i429i,2,20,12,4,11,31
jgays,4,0,38,10,0,86
nxom5,11,0,48,2,0,17
jg2dn,4,27,3,4,9,61
tbabj,4,0,24,4,0,75
i7mwy,4,24,13,11,26,34
l56bh,11,0,44,11,0,97
j1290,10,19,98,11,3,28
etmqa,2,0,84,11,0,14
rybxw,11,7,25,2,2,55
g940w,11,8,89,11,6,6
hk1ts,10,13,98,11,7,13
uwjjb,2,29,35,11,15,9
yn3dr,10,0,91,11,0,17
r457n,10,0,41,10,0,55
xmjoy,10,14,73,11,30,11
wyvqz,10,0,92,10,0,23
mmd8d,10,0,83,4,0,4
u4u9t,11,15,34,2,0,91
ibddp,2,2,51,11,2,94
l1w3t,4,18,38,10,1,9
negf7,11,10,13,2,8,18
y2bhj,11,0,38,10,20,29
wzc9k,2,30,55,10,26,75
m4yna,10,26,71,11,30,5
qtbzh,2,13,90,2,15,33
f8amo,10,17,19,4,10,72
u1i2l,11,13,93,10,3,57
oc4gp,11,0,1,10,0,10
nvaxt,2,6,98,10,20,42
t1d5c,11,0,50,11,0,79
q7lcj,4,0,65,10,2,32
brekk,2,0,90,2,0,21
hfraj,4,20,6,4,5,65
efbr6,2,21,70,2,10,43
tmxfz,10,25,48,4,21,15
ayoju,10,0,53,10,12,89
fvzhm,11,7,56,10,9,83
p3331,10,10,95,2,25,21
sckkl,11,23,26,10,2,67
nrg2s,10,6,22,10,7,55
wc3lu,10,1,91,2,25,74
xpmlo,11,18,47,11,2,41
dcyxs,2,0,23,10,0,85
y5tnv,11,17,31,4,3,42
p20uw,10,23,7,11,22,81
q9yzx,10,22,93,10,18,44
c87m0,2,20,4,2,18,15
qxts6,11,26,23,11,5,37
s66km,2,18,80,2,10,65
pd2y9,11,30,49,11,26,12
c0hko,11,6,46,11,1,0
n1o8v,10,16,95,4,9,10
yn8tl,10,24,28,10,14,90
so1d2,2,29,30,11,20,88
ddzzv,2,17,20,10,2,0
ygu3k,2,21,46,2,13,40
y7e6m,10,6,83,2,23,97
eziwx,2,14,32,11,3,93
ur46f,11,3,87,2,8,73
k3xse,4,0,60,10,4,74
pvnbg,10,10,32,2,14,22
ldkg4,2,0,25,4,0,33
ukp0d,11,23,57,2,0,6
zmhs4,2,4,93,2,15,18
utod7,10,0,96,11,0,41
yquss,11,0,8,4,0,66
ydqp1,4,0,42,4,0,65
cp4xe,11,6,98,10,11,23
g5ozk,10,0,72,4,0,73
s16b0,11,19,53,4,13,6
p0koo,4,0,7,11,0,3
bqp67,11,0,53,11,0,88
c7rza,11,0,46,2,11,11
na0xd,10,19,67,10,29,52
qxw0s,2,13,97,2,9,47
e11vt,2,24,36,11,26,14
e2g96,11,1,47,2,6,80
dt6zp,10,0,23,2,0,63
opvjt,4,24,73,11,14,8
aotod,10,2,15,10,17,46
ozrhi,11,11,44,10,16,4
ms2j4,10,15,55,10,14,74
m2ae0,11,28,43,10,11,22
rte9a,10,0,23,2,6,60
noa6q,11,28,57,11,7,8
sw3jl,11,18,68,10,19,46
tw7gp,10,4,7,10,13,91
xjghq,10,24,91,10,17,13
udwgs,4,29,77,11,30,97
nipfg,10,0,9,2,0,31
mlzpm,11,18,13,11,1,51
gu83o,4,0,21,10,0,82
psh04,10,0,24,4,0,77
d4h0g,4,4,41,11,19,19
yazpk,2,28,2,11,8,18
vspiq,10,7,58,10,5,94
db27u,11,0,31,10,0,93
uw0r9,11,14,77,11,10,67
dkzkk,4,0,71,2,0,94
sp1o4,10,3,10,10,25,52
cnpsx,4,16,32,11,12,8
mprce,11,7,56,4,12,88
rf0np,10,10,95,11,4,40
stmeq,10,0,27,11,0,69
kmuw1,2,0,75,2,0,79
xs69y,11,0,86,2,0,89
u794f,10,13,59,11,8,36
fyfk2,4,10,52,11,19,96
rtwo5,10,24,24,11,23,6
smy1a,11,22,30,11,6,41
i4yhh,2,3,49,4,4,40
tcqcy,10,0,72,11,0,21
xcx0n,10,4,77,11,2,70
vmz67,10,6,79,10,0,8
twime,2,1,51,10,11,86
qbe1q,2,0,53,11,0,22
hukcq,4,5,4,11,6,88
updxi,11,27,16,2,29,80
jsmd7,11,1,9,11,1,2
nwkib,2,28,72,11,18,95
i1lh7,2,24,33,10,11,23
i9pv3,4,0,53,4,0,25
evj1e,2,14,32,11,7,62
ytrvz,2,9,58,10,16,51
dc4ki,11,21,98,11,21,19
ct94r,10,0,21,2,0,48
yvsy4,2,10,56,10,27,71
ofou1,2,6,79,11,12,70
ldu1e,11,26,14,11,9,36
tgb47,11,8,93,4,16,16
jq5v9,11,5,1,10,2,85
ddy0x,10,0,61,10,0,87
srhgx,11,25,51,11,24,44
eurbn,10,5,91,4,18,58
o5y1d,10,16,19,4,6,21
yqs21,11,16,94,2,6,89
yd3br,11,13,22,11,16,48
jimpu,11,10,39,4,5,34
ubeyd,10,24,90,11,26,0
pi3he,2,25,1,10,6,46
mrpeo,2,25,63,11,5,70
d49cz,11,0,55,2,0,45
jy11y,11,0,27,2,0,42
q5jen,10,30,70,11,7,56
zhgbt,4,29,50,2,27,22
a3cx6,2,9,40,2,3,30
srhyh,2,4,2,11,20,46
weral,10,19,19,11,20,16
y2fs9,4,26,48,11,16,36
lhkz0,11,30,82,4,22,75
dr0wi,2,0,30,11,0,22
h3jyt,2,0,25,2,8,12
wt460,4,7,28,10,27,88
wvkzb,2,18,74,10,3,36
qdvjr,11,27,47,10,21,16
d7mpx,10,13,11,10,13,8
d08l6,11,5,92,11,14,42
mhxc8,11,0,20,10,0,35
p2o6d,11,0,42,10,0,29
anqxx,4,17,76,10,21,87
rb2f7,10,17,96,4,20,2
ooson,10,4,4,10,26,15
aqk6v,4,0,30,10,29,5
cqycw,11,0,13,11,0,79
lghxq,11,27,87,2,10,90
sgcvs,11,0,94,11,0,13
vih06,2,8,21,2,14,30
l73i0,2,28,47,11,18,92
hnegq,10,14,72,10,19,17
zkg1b,2,25,11,10,30,11
l8oll,10,6,21,2,9,82
iy7j7,11,17,13,11,20,32
l67wa,10,5,65,11,1,18
als2a,11,14,84,4,11,2
